연번,호선,한글,한자,영문,중국어,일본어
249,7호선,보라매,보라매,Boramae,波拉美,ポラメ
250,7호선,신풍,新豊,Sinpung,新丰,シンプン
251,7호선,대림(구로구청),大林(九老區廳),Daerim(Gurogu Office),大林(九老区厅),テリム
252,7호선,남구로,南九老,Namguro,南九老,ナムグロ
253,7호선,가산디지털단지,加山디지털團地,Gasan Digital Complex,加山数码园区,カサン・デジタルダンジ
254,7호선,철산,鐵山,Cheolsan,铁山,チョルサン
255,7호선,광명사거리,光明사거리,Gwangmyeongsageori,光明十字路口,クァンミョンサゴリ
256,7호선,천왕,天旺,Cheonwang,天旺,チョヌァン
257,7호선,온수(성공회대입구),溫水(聖公會大入口),Onsu(Sungkonghoe Univ.),温水(圣公会大学),オンス
258,8호선,암사역사공원,岩寺歷史公園,Amsa History Park,岩寺历史公园,アムサヨクサゴンウォン
259,8호선,암사,岩寺,Amsa,岩寺,アムサ
260,8호선,천호(풍납토성),千戶(風納土城),Cheonho(Pungnaptoseong),千戶(风纳土城),チョンホ
261,8호선,강동구청,江東區廳,Gangdonggu Office,江东区厅,カンドングチョン
262,8호선,몽촌토성(평화의문),夢村土城(平和의門),Mongchontoseong(World Peace Gate),梦村土城(和平之门),モンチョントソン
263,8호선,잠실(송파구청),蠶室(松坡區廳),Jamsil(Songpagu Office),蚕室(松坡区厅),チャムシル
264,8호선,석촌,石村,Seokchon,石村,ソクチョン
265,8호선,송파,松坡,Songpa,松坡,ソンパ
266,8호선,가락시장,可樂市場,Garak Market,可乐市场,カラク・シジャン
267,8호선,문정,文井,Munjeong,文井,ムンジョン
268,8호선,장지,長旨,Jangji,长旨,チャンジ
269,8호선,복정,福井,Bokjeong,福井,ポクチョン
270,8호선,남위례,南慰禮,Namwirye ,南慰礼,ナムィレ
271,8호선,산성,山城,Sanseong,山城,サンソン
272,8호선,남한산성입구(성남법원•검찰청),南漢山城入口(城南法院檢察廳) ,Namhansanseong(Seongnam Court & Prosecutors' Office),南汉山城(城南法院·检察厅),ナムハンサンソンイック
273,8호선,단대오거리,丹垈오거리,Dandaeogeori,丹垈五岔路口,タンデオゴリ
274,8호선,신흥,新興,Sinheung,新兴,シンフン
275,8호선,수진,壽進,Sujin,寿进,スジン
276,8호선,모란,牡丹,Moran,牡丹,モラン
277,9호선,언주,彦州,Eonju,彦州,オンジュ
278,9호선,선정릉,宣靖陵,Seonjeongneung,宣靖陵,ソンジョンヌン
279,9호선,삼성중앙,三成中央,Samseong Jungang ,三成中央,サムソン・チュンアン
280,9호선,봉은사,奉恩寺,Bongeunsa ,奉恩寺,ポンウンサ
281,9호선,종합운동장,綜合運動場,Sports Complex,综合运动场,チョンハブンドンジャン
282,9호선,삼전,三田,Samjeon,三田,サムジョン
283,9호선,석촌고분,石村古墳,Seokchon Gobun,石村古坟,ソクチョンコブン
284,9호선,석촌,石村,Seokchon,石村,ソクチョン
285,9호선,송파나루,松坡나루,Songpanaru,松坡渡口,ソンパナル
286,9호선,한성백제,漢城百済,Hanseong Baekje,汉城百济,ハンソンベクチェ
287,9호선,올림픽공원(한국체대),올림픽公園(韓國體大),Olympic Park(Korea National Sport University),奥林匹克公园(韩国体育大学),オリンピックゴンウォン
288,9호선,둔촌오륜,遁村五輪,Dunchon Oryun,遁村五轮,トゥンチョノリュン
289,9호선,중앙보훈병원,中央報勲病院,VHS Medical Center,中央报勋医院,チュンアンボフンビョンウォン
